tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,date,age_stage,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweets_count,full_text,lang
892420643555336193,,,1900-01-01 16:23:56,"href=""http://twitter.com/download/iphone""",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,2017-08-01,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,970486000.0,False,bagel,858511000.0,False,banana,761100000.0,False,33695,6969,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,en
892177421306343426,,,1900-01-01 00:17:27,"href=""http://twitter.com/download/iphone""","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,2017-08-01,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,3235810000.0,True,Pekinese,906465000.0,True,papillon,689568999.9999999,True,29218,5272,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",en
891815181378084864,,,1900-01-01 00:18:03,"href=""http://twitter.com/download/iphone""",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,2017-07-31,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,7160119999.999998,True,malamute,782530000.0000002,True,kelpie,313789000.0,True,21973,3464,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,en
891689557279858688,,,1900-01-01 15:58:51,"href=""http://twitter.com/download/iphone""",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,2017-07-30,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,1702779999.9999988,False,Labrador_retriever,1680859999.9999993,True,spatula,408359000.0,False,36781,7191,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,en
891327558926688256,,,1900-01-01 16:00:24,"href=""http://twitter.com/download/iphone""","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,2017-07-29,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,5557120000.0,True,English_springer,2257699999.999999,True,German_short-haired_pointer,1752190000.0000005,True,35180,7715,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",en
891087950875897856,,,1900-01-01 00:08:17,"href=""http://twitter.com/download/iphone""",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,2017-07-29,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,4255950000.0,True,Irish_terrier,1163170000.0,True,Indian_elephant,769021999.9999989,False,17744,2585,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,en
890971913173991426,,,1900-01-01 16:27:12,"href=""http://twitter.com/download/iphone""","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,2017-07-28,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,3417030000.0,True,Border_collie,1992870000.0,True,ice_lolly,1935480000.0,False,10326,1646,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",en
890729181411237888,,,1900-01-01 00:22:40,"href=""http://twitter.com/download/iphone""",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,2017-07-28,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,5661420000.0,True,Eskimo_dog,1784059999.9999993,True,Pembroke,765068999.9999999,True,56651,15677,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,en
890609185150312448,,,1900-01-01 16:25:51,"href=""http://twitter.com/download/iphone""",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,2017-07-27,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,4875739999.999998,True,Irish_setter,1930540000.0,True,Chesapeake_Bay_retriever,1181840000.0000002,True,24419,3604,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,en
890240255349198849,,,1900-01-01 15:59:51,"href=""http://twitter.com/download/iphone""",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,2017-07-26,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,5113189999.999999,True,Cardigan,4510380000.0,True,Chihuahua,292481999.99999994,True,27841,6067,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,en
